No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num
190,Western Cape - Health,Other,STAT TIAKENI MEDICAL,Service,"3,686.33",1,EA,31/07/2020,"R3,686.31",11/4/2020,"R3,686",3686,3686.31
191,Western Cape - Health,Other,TRIGON TRAVEL,Service,"11,500.00",1,EA,31/07/2020,"R11,500.00",14/10/2020,"R11,500",11500,11500
192,Western Cape - Health,Other,STAT TIAKENI MEDICAL,Service,"3,686.33",3,EA,31/07/2020,"R11,058.97",11/4/2020,"R11,059",11059,11058.97
194,Gauteng - Health,Peak Flow Meter,Quality Medical,0,172.5,5,Each,31/07/2020,R862.50,,R0,0,862.5
198,Defence,PPE001 Surgical masks for patients,Tyra Tee Projects Management,0,11.98,60 000,Each,31/07/2020,R0.00,3/9/2020,R0,0,0
212,Defence,PPE015 Non-sterile examination gloves,Madendele Enterprise,0,298.99,2 500,Box of 100,31/07/2020,R0.00,7/9/2020,R0,0,0
237,Public Works,PPE021 Sanitising of buildings,Samcho cleaning,Decontamination of various buildings for 6 months,"248,400.00",Various buildings for 6 months,Other UOM,31/07/2020,"R248,400.00",,R0,0,248400
247,Public Works,Provision of cleaning services at Orlando Magistrate Court (JHBE20/093),Chithibunga Project,Provision of cleaning services at Orlando Magistrate Court (JHBE20/093); Quote  00197 dd 31/07/2019,"76,640.52",(14 Days)            22 July- 04 August 2020,0,31/07/2020,"R76,640.52",,R0,0,76640.52
248,Public Works,Provision of cleaning services at Orlando Magistrate Court (JHBE20/093),Chithibunga Project,Provision of cleaning services at Orlando Magistrate Court (JHBE20/093); Quote  00197 dd 31/07/2019,"153,281.04",(14 Days)            22 July- 04 August 2020,Other UOM,31/07/2020,"R153,281.04",25/09/2020,"R153,281",153281,153281.04
250,Gauteng - Health,Stand drip mobile type C staineless steel,New Horizon Metals,0,"1,002.92",24,Each,31/07/2020,"R24,070.08",,R0,0,24070.08
251,Gauteng - Health,Stool foot double step,New Horizon Metals,0,872.11,240,Each,31/07/2020,"R209,306.40",,R0,0,209306.4
252,Western Cape - Health,Telecommunication,DYNAMIC EXCLUSIVE MAINTENANCE SERVICES,0,"34,266.90",6,0,31/07/2020,"R205,601.37",19/02/2021,"R205,601",205601,205601.37
254,Gauteng - Health,Trolley gas Cyclinder for 188mm cylinder,New Horizon Metals,0,890.79,12,Each,31/07/2020,"R10,689.48",,R0,0,10689.48
255,Gauteng - Health,Trolley gas Cylinder,New Horizon Metals,0,961.81,3,Each,31/07/2020,"R2,885.43",,R0,0,2885.43
256,Gauteng - Health,Trolley mortuary,New Horizon Metals,0,"7,786.66",5,Each,31/07/2020,"R38,933.30",,R0,0,38933.3
257,Gauteng - Health,Trolley soiled instrument and linen,New Horizon Metals,0,"1,931.10",12,Each,31/07/2020,"R23,173.20",,R0,0,23173.2
258,Gauteng - Health,Trolley utility,New Horizon Metals,0,"4,111.36",3,Each,31/07/2020,"R12,334.08",,R0,0,12334.08
259,Gauteng - Health,"Ventilator, transport",Class Three Medical Solution,0,"201,277.37",1,Each,31/07/2020,"R201,277.37",,R0,0,201277.37
262,Western Cape - Health,Electronics,COMET RSA,0,"1,782.50",2,Each,31/05/2021,"R3,565.00",6/4/2021,"R3,565",3565,3565
263,Western Cape - Health,Electronics,MADGE COMPUTERS,0,"32,960.08",2,Each,31/05/2021,"R65,920.16",25/06/2021,"R65,920",65920,65920.16
264,Western Cape - Health,Electronics,LOGTAG DIGITAL TRACKING,0,959.93,40,Each,31/05/2021,"R38,397.12",18/06/2021,"R38,397",38397,38397.12
265,Western Cape - Health,Human resources-services,COMET RSA,0,287.5,12,0,31/05/2021,"R3,450.00",14/07/2021,"R3,450",3450,3450
267,Western Cape - Health,Infrastructure,MADGE COMPUTERS,0,"21,608.50",7,Each,31/05/2021,"R151,259.50",25/06/2021,"R151,260",151260,151259.5
273,Mpumalanga - Health,Other,DANA AGENCY,ACCOMMODATION,"19,840.00",15,Other UOM,31/05/2021,"R381,888.00",28/06/2021,"R297,600",297600,381888
274,Mpumalanga - Health,Other,ZAPG & TOURS TRAVEL,ACCOMMODATION,"4,960.00",2,Other UOM,31/05/2021,"R11,916.00",7/8/2021,"R9,920",9920,11916
275,Mpumalanga - Health,Other,DANA AGENCY,Catering food,"3,200.00",15,Other UOM,31/05/2021,"R381,888.00",28/06/2021,"R48,000",48000,381888
276,Mpumalanga - Health,Other,ZAPG & TOURS TRAVEL,Food & Bever,800,2,Other UOM,31/05/2021,"R11,916.00",7/8/2021,"R1,600",1600,11916
277,Mpumalanga - Health,Other,ZAPG & TOURS TRAVEL,Travel Agency fee,396,1,Each,31/05/2021,"R11,916.00",7/8/2021,R396,396,11916
278,Mpumalanga - Health,Other,DANA AGENCY,Travel fees,"36,288.00",1,Other UOM,31/05/2021,"R381,888.00",28/06/2021,"R36,288",36288,381888
279,Western Cape - Health,Other,VOGUE EXCHANGE,CLEANING,"4,283.98",1,0,31/05/2021,"R4,283.98",7/12/2021,"R4,284",4284,4283.98
280,Western Cape - Health,Other,VOGUE EXCHANGE,CLEANING,"4,283.98",1,0,31/05/2021,"R4,283.98",9/10/2021,"R4,284",4284,4283.98
281,Western Cape - Health,Other,ZARA CLEANING SERVICERS,CLEANING,"55,561.82",1,0,31/05/2021,"R55,561.82",13/08/2021,"R55,562",55562,55561.82
282,Western Cape - Health,Other,VOGUE EXCHANGE,CLEANING,"4,283.98",1,0,31/05/2021,"R4,283.98",17/09/2021,"R4,284",4284,4283.98
283,Western Cape - Health,Other,ZARA CLEANING SERVICERS,CLEANING,"50,464.44",1,0,31/05/2021,"R50,464.44",30/09/2021,"R50,464",50464,50464.44
284,Western Cape - Health,Other,ZARA CLEANING SERVICERS,CLEANING,"11,214.32",2,0,31/05/2021,"R22,428.64",30/09/2021,"R22,429",22429,22428.64
285,Western Cape - Health,Other,DEM SERVICES,"CLEANING , SERVICE, VARIOUS HEALTH FACILITIES","4,734.00",1,0,31/05/2021,"R4,734.00",8/6/2021,"R4,734",4734,4734
286,Western Cape - Health,Other,BRAINPLAY,KITCHEN AND FOOD APPLIANCES,19.44,48,Each,31/05/2021,R932.88,18/06/2021,R933,933,932.88
287,Western Cape - Health,Other,PRO SYNERGY ENTERPRISES,LAPTOP LOCK SET,220,211,Each,31/05/2021,"R46,420.00",6/11/2021,"R46,420",46420,46420
293,Western Cape - Health,PPE000 Other PPEs,PRO SYNERGY ENTERPRISES,0,140,600,0,31/05/2021,"R84,000.00",6/11/2021,"R84,000",84000,84000
294,Western Cape - Health,PPE000 Other PPEs,COMET RSA,TEMPERATURE MANAGEMENT SYSTEM,"10,925.00",1,0,31/05/2021,"R10,925.00",14/07/2021,"R10,925",10925,10925
303,Health,PPE007 Isolation gowns,DR TEMP,DISPOSABLE ISOLATION GOWNS X-LARGE X6000,0,0,0,31/05/2021,"R780,000.00",13/07/2021,"R178,750",178750,780000
304,Health,PPE007 Isolation gowns,GENESIS PHARMACEUTICALS,ISOLATION GOWNS MEDIUM,0,0,0,31/05/2021,"R130,829.75",19/07/2021,"R68,885",68885,130829.75
305,Health,PPE007 Isolation gowns,GENESIS PHARMACEUTICALS,ISOLATION GOWNS XL,0,0,0,31/05/2021,"R247,779.00",26/07/2021,"R247,779",247779,247779
306,Health,PPE007 Isolation gowns,GENESIS PHARMACEUTICALS,ISOLATION GOWNS XXL,0,0,0,31/05/2021,"R130,829.75",19/07/2021,"R61,945",61945,130829.75
308,Health,PPE008 Surgical gowns,DR TEMP,DISPOSABLE ISOLATION GOWNS X-LARGE X6000,0,0,0,31/05/2021,"R390,000.00",13/07/2021,"R211,250",211250,390000
309,Health,PPE009 Protective coveralls,THE JULY GROUP,PROTECTION COVER BODY SUIT SIZE L,0,0,0,31/05/2021,"R129,800.00",14/07/2021,"R118,000",118000,129800
310,Health,PPE009 Protective coveralls,THE JULY GROUP,PROTECTION COVER BODY SUIT SIZE M,0,0,0,31/05/2021,"R129,800.00",14/07/2021,"R11,800",11800,129800
315,Western Cape - Health,PPE011 Digital thermometer,ITSTYM GENERAL TRADING,0,233.33,30,Each,31/05/2021,"R6,999.90",18/06/2021,"R7,000",7000,6999.9
318,Health,PPE016 Sterile examination or surgical gloves,SUPRA HEALTHCARE JOHANNESBURG,"6312-STERILE SRGICAL GLOVES SIZE 6.5 X400, 7,0 X400 & 7.5 X400",0,0,0,31/05/2021,"R320,018.40",7/1/2021,"R320,018",320018,320018.4
336,Western Cape - Education,PPE021 Sanitising of buildings,CONNOR PEST CONTROL SERVICE,0,"8,285.80",1,Each,31/05/2021,R0.00,6/4/2021,"R8,286",8286,0
337,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"9,400.00",1,Each,31/05/2021,R0.00,6/4/2021,"R9,400",9400,0
338,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"1,900.00",1,Each,31/05/2021,R0.00,6/11/2021,"R1,900",1900,0
347,Western Cape - Health,Security,COMWEZI SECURITY SERVICES SA,0,"15,787.20",1,0,31/05/2021,"R15,787.20",20/07/2021,"R15,787",15787,15787.2
348,Western Cape - Health,Telecommunication,DATACENTRIX,0,"22,680.21",10,0,31/05/2021,"R226,802.08",30/07/2021,"R226,802",226802,226802.08
349,Western Cape - Health,Telecommunication,DATACENTRIX,0,"22,680.21",40,0,31/05/2021,"R907,208.32",30/07/2021,"R907,208",907208,907208.32
385,Mpumalanga - Human Settlements,0,0,0,65,20,1 Litre,31/03/2021,"R1,300.00",,R0,0,1300
389,Western Cape - Health,Human resources-services,BOLAND TRAVEL PAARL,0,"40,160.00",1,0,31/03/2021,R0.00,16/04/2021,"R40,160",40160,0
390,Western Cape - Health,Infrastructure,LESHAM MANAGEMENT AND SERVICES,0,"2,278.32",1,0,31/03/2021,"R2,278.32",7/9/2021,"R2,278",2278,2278.32
391,Western Cape - Health,Infrastructure,LESHAM MANAGEMENT AND SERVICES,0,"2,278.32",1,0,31/03/2021,"R2,278.32",27/08/2021,"R2,278",2278,2278.32
392,Western Cape - Health,Infrastructure,LESHAM MANAGEMENT AND SERVICES,0,"2,278.32",1,0,31/03/2021,"R2,278.32",30/07/2021,"R2,278",2278,2278.32
393,Western Cape - Health,Infrastructure,LESHAM MANAGEMENT AND SERVICES,0,"2,278.32",1,Each,31/03/2021,"R2,278.32",6/11/2021,"R2,278",2278,2278.32
398,Mpumalanga - Health,Other,MBUSO MEDICAL SUPPLIES,Breating circuit,"1,100.00",10,Each,31/03/2021,"R11,000.00",27/07/2021,"R11,000",11000,11000
400,Unemployment Insurance Fund,Other,Sizwe Ntsaluba Gobodo,COVID-Ters Audit,"253,913.14",1,Each,31/03/2021,"R253,913.14",,"R253,913",253913,253913.14
401,Unemployment Insurance Fund,Other,LMMT DIGLOSSIA,COVID-Ters Audit,"1,584,994.82",1,Each,31/03/2021,"R1,584,994.82",31/03/2021,"R1,584,995",1584995,1584994.82
402,Unemployment Insurance Fund,Other,Sizwe Ntsaluba Gobodo,COVID-Ters Audit,"2,458,631.82",1,Each,31/03/2021,"R2,458,631.82",31/03/2021,"R2,458,632",2458632,2458631.82
403,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"BOWL,FOOD SERVING , FOAMALITE, CODE 6PS, WHITE, 3 DIVISION",0.79,2250,0,31/03/2021,"R1,777.50",13/08/2021,"R1,778",1778,1777.5
404,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"BOWL,FOOD SERVING , FOAMALITE, CODE 6PS, WHITE, 3 DIVISION",0.79,2250,0,31/03/2021,"R1,777.50",20/08/2021,"R1,778",1778,1777.5
405,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,CONTAINER,0.92,1500,0,31/03/2021,"R1,380.00",13/08/2021,"R1,380",1380,1380
406,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,CONTAINER,0.92,2000,0,31/03/2021,"R1,840.00",20/08/2021,"R1,840",1840,1840
407,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"CONTAINER , FOOD, SANDWICH WEDGE, PLASTIC",1.98,1500,0,31/03/2021,"R2,970.00",13/08/2021,"R2,970",2970,2970
408,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"CONTAINER , FOOD, SANDWICH WEDGE, PLASTIC",1.98,1500,0,31/03/2021,"R2,970.00",20/08/2021,"R2,970",2970,2970
409,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"FORK,EATING , PLASTIC, DISPOSABLE",8,90,0,31/03/2021,R720.00,13/08/2021,R720,720,720
410,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"KNIFE , PLASTIC, DISPOSABLE",8,112,0,31/03/2021,R896.00,13/08/2021,R896,896,896
411,Western Cape - Health,Other,SOUTH AFRICAN PARAMEDIC SERVICES,Transport Service,"3,248.31",1,0,31/03/2021,"R3,248.31",5/12/2021,"R3,248",3248,3248.31
412,Western Cape - Health,Other,SOUTH AFRICAN PARAMEDIC SERVICES,Transport Service,313.3,3,0,31/03/2021,R939.90,26/05/2021,R940,940,939.9
413,Western Cape - Health,Other,SOUTH AFRICAN PARAMEDIC SERVICES,Transport Service,541.38,496,0,31/03/2021,"R268,524.48",5/12/2021,"R268,524",268524,268524.48
434,Mpumalanga - Human Settlements,PPE020 Hand sanitisers and disinfectants,Bizrocket Trade and Projects,0,25,1556,1 Litre,31/03/2021,"R38,900.00",,R0,0,38900
439,Western Cape - Education,PPE021 Sanitising of buildings,KATEMO GENERAL TRADING,0,"1,337.85",1,Each,31/03/2021,R0.00,4/9/2021,"R1,338",1338,0
442,Gauteng - Infrastructure Development,Infrastructure,Maabele Trading,Emergency request to covert old icu to covid 19 isolation ward at Carletonville Hospital,0,0,Other UOM,31/03/2020,"R2,121,362.10",,R0,0,2121362.1
451,Public Works,Other,Csquard,Marquee Tent Hire,"60,000.00",1,Each,31/03/2020,"R60,000.00",4/3/2020,"R60,000",60000,60000
484,Kwazulu Natal - Health,PPE002 Surgical masks for healt care workers,Healthware,0,21.66,18000,Each,31/03/2020,"R389,880.00",,R0,0,389880
485,Kwazulu Natal - Health,PPE002 Surgical masks for healt care workers,EGS,0,27.6,500000,Each,31/03/2020,"R13,800,000.00",,R0,0,13800000
490,Kwazulu Natal - Health,PPE003 Respirator mask,Juba Fly,0,60,100000,Each,31/03/2020,"R6,000,000.00",,R0,0,6000000
491,Western Cape - Health,PPE003 Respirator mask,RAPITRADE 458,3M1680 cone shape masks,19.93,2000,EA,31/03/2020,"R39,850.00",24/04/2020,"R39,850",39850,39850
494,Mpumalanga - Health,PPE005 Eye protection - Goggles,QUALITY MEDICAL SUPPLIES,0,65,9000,Each,31/03/2020,"R650,003.00",20/04/2020,"R585,000",585000,650003
495,Kwazulu Natal - Health,PPE008 Surgical gowns,Sebenzani Trading 622 CC,0,37.95,15000,Each,31/03/2020,"R569,250.00",,R0,0,569250
500,Defence,PPE015 Non-sterile examination gloves,Mapunya Trading,0,380,1500,Box of 100 gloves,31/03/2020,R0.00,29/05/2020,R0,0,0
501,Defence,PPE015 Non-sterile examination gloves,Blu Sky Travellers,0,380,2000,Box of 100 gloves,31/03/2020,"R760,000.00",8/11/2020,"R760,000",760000,760000
502,Defence,PPE015 Non-sterile examination gloves,Grinland Enviro (Pty) Ltd,0,380,2400,Box of 100 gloves,31/03/2020,R0.00,6/10/2020,R0,0,0
546,Public Works,PPE020 Hand sanitisers and disinfectants,Bidvest Steiner,5L Hand Sanitizer and empty bottle,550.62,10,5 Litre,31/03/2020,"R5,506.20",15/06/2020,"R5,506",5506,5506.2
555,Western Cape - Education,PPE021 Sanitising of buildings,HOTLINE PLUMBING,0,17.5,40,per m2,31/03/2020,R0.00,29/04/2021,R700,700,0
561,Defence,Sanitizer in 500ml,Ziyeka Engineering (Pty) Ltd,0,80,1000,500 ml,31/03/2020,"R80,000.00",21/04/2020,"R80,000",80000,80000
562,Defence,Sanitizer in 500ml,Pt Medical Supplies,0,80,3000,500 ml,31/03/2020,"R240,000.00",5/8/2020,"R240,000",240000,240000
564,Western Cape - Health,Food parcels,ATLANTIS PROVISIONS,0,228,10,0,31/01/2021,"R2,280.00",2/12/2021,"R2,280",2280,2280
565,Western Cape - Health,Food parcels,BLAAUWBERG MEAT SPECIALITIES,0,91.9,60,0,31/01/2021,"R5,514.00",2/9/2021,"R5,514",5514,5514
566,Western Cape - Health,Human resources-services,HEALTH STAFF,0,"61,504.12",1,0,31/01/2021,"R61,504.12",2/5/2021,"R61,504",61504,61504.12
568,Western Cape - Health,Other,BOLAND TRAVEL PAARL,Accomodation Service,"63,360.00",1,0,31/01/2021,"R63,360.00",2/12/2021,"R63,360",63360,63360
569,Western Cape - Health,Other,HOME FROM HOME GROUP,Accomodation Service,"288,750.00",1,0,31/01/2021,"R288,750.00",2/12/2021,"R288,750",288750,288750
570,Western Cape - Health,Other,BOLAND TRAVEL PAARL,Accomodation Service,"72,265.00",1,0,31/01/2021,"R72,265.00",17/02/2021,"R72,265",72265,72265
571,Western Cape - Health,Other,COMPASS MEDICAL WASTE SERVICES,"DISPOSAL , MEDICAL WASTE","9,273.66",1,0,31/01/2021,"R9,273.66",15/02/2021,"R9,274",9274,9273.66
572,Western Cape - Health,Other,ITC PEST CONTROL SERVICES AND SOLUTIONS,PEST CONTROL,"1,328.25",1,0,31/01/2021,"R1,328.25",2/12/2021,"R1,328",1328,1328.25
573,Western Cape - Health,Other,COMPASS MEDICAL WASTE SERVICES,REMOVAL,"3,699.32",1,0,31/01/2021,"R3,699.32",2/11/2021,"R3,699",3699,3699.32
574,Western Cape - Health,Other,AVBOB (BEGRAFNISDIENS),REMOVAL,896.7,60,0,31/01/2021,"R53,802.00",18/02/2021,"R53,802",53802,53802
575,Western Cape - Health,Other,AVBOB (BEGRAFNISDIENS),REMOVAL,896.7,91,0,31/01/2021,"R81,599.70",18/02/2021,"R81,600",81600,81599.7
576,Western Cape - Health,Other,ZARA CLEANING SERVICES,Service,"9,200.00",1,0,31/01/2021,"R9,200.00",19/02/2021,"R9,200",9200,9200
579,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,"1,331.43",1,0,31/01/2021,"R1,331.43",2/11/2021,"R1,331",1331,1331.43
580,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,3,0,31/01/2021,"R1,331.43",19/02/2021,"R1,331",1331,1331.43
581,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,18.42,340,0,31/01/2021,"R6,262.80",19/02/2021,"R6,263",6263,6262.8
582,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,44,0,31/01/2021,"R19,527.64",19/02/2021,"R19,528",19528,19527.64
