,Cleaned_name,Item_desp,Service_desp,pay_num,order_num
68,All wcg departments,EMERG COV-19 DECON-KHANYOLWETHU,0,9159,0.0
69,All wcg departments,EMERG COV-19 DECON-KRAAIFONTEIN,0,1450,0.0
70,All wcg departments,EMERG COV-19 DECON-MACASSAR SS,0,850,0.0
71,All wcg departments,EMERG COV-19 DECON-MARVIN PARK P,0,1625,0.0
72,All wcg departments,EMERG COV-19 DECON-MONUMENT PARK,0,2532,0.0
73,All wcg departments,EMERG COV-19 DECON-NOLUTHANDO DE,0,5059,0.0
74,All wcg departments,EMERG COV-19 DECON-NOMZAMO SS,0,2883,0.0
75,All wcg departments,EMERG COV-19 DECON-NOXOLO XAUKA,0,4380,0.0
76,All wcg departments,EMERG COV-19 DECON-RAINBOW PS,0,510,0.0
77,All wcg departments,EMERG COV-19 DECON-RUSTHOF SCH,0,210,0.0
78,All wcg departments,EMERG COV-19 DECON-RUSTHOF SS,0,1650,0.0
79,All wcg departments,EMERG COV-19 DECON-SCOTTSVILLE S,0,4842,0.0
80,All wcg departments,EMERG COV-19 DECON-SILUKHANYO PS,0,3393,0.0
81,All wcg departments,EMERG COV-19 DECON-SIMONSBERG PS,0,3150,0.0
82,All wcg departments,EMERG COV-19 DECON-SIPHAMANDLA S,0,4320,0.0
83,All wcg departments,EMERG COV-19 DECON-SOLOMON QATYA,0,3900,0.0
84,All wcg departments,EMERG COV-19 DECON-SOSEBENZA PS,0,914,0.0
85,All wcg departments,EMERG COV-19 DECON-ST PAUL'S PS,0,1093,0.0
86,All wcg departments,EMERG COV-19 DECON-STRATFORD PS,0,900,0.0
87,All wcg departments,EMERG COV-19 DECON-TUSCANY GLEN,0,8400,0.0
88,All wcg departments,EMERG COV-19 DECON-UMMANGALISO P,0,650,0.0
89,All wcg departments,EMERG COV-19 DECON-USASAZO SS,0,10555,0.0
90,All wcg departments,EMERG COV-19 DECON-UXOLO HS,0,1571,0.0
91,All wcg departments,EMERG COV-19 DECON-WALLACEDENE S,0,1950,0.0
92,All wcg departments,EMERG COV-19 DECON-WC SPORT SCH,0,2500,0.0
93,All wcg departments,Electronics,0,321074,321073.79
94,All wcg departments,Electronics,Laptops including on-site warranty,983131,983130.68
95,All wcg departments,Food parcels,0,22622681,22622681.0
96,All wcg departments,KITCHEN SUPPLIES,0,540,0.0
97,All wcg departments,LUDWE NGAMLANA PS,0,2240,0.0
98,All wcg departments,MACASSAR HS,0,1920,0.0
99,All wcg departments,MACASSAR PS,0,3750,0.0
100,All wcg departments,"MAY 2 COVID FOOD,FRSH&OP-BOLD-D4",0,247829,0.0
101,All wcg departments,"MAY 5 COVID FD,FRSH&OP-BOLD-WC2",0,142869,0.0
102,All wcg departments,"MAY 5 COVID FD,FRSH&OP-BOLD-WC3",0,54943,0.0
103,All wcg departments,"MAY 5 COVID FOOD,FRSH&OP-BOLD-O1",0,208154,0.0
104,All wcg departments,MAY 5 COVID OPERA-BOLD-O2,0,26402,0.0
105,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-C1",0,128933,0.0
106,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-C2",0,162078,0.0
107,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-E1",0,192407,0.0
108,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-E2",0,313494,0.0
109,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-N1",0,99894,0.0
110,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-N2",0,182980,0.0
111,All wcg departments,"MAY COVID FD,FRSH&OP-PSFA-S1",0,115655,0.0
112,All wcg departments,MAY NO.2 COVID FOOD&FRSH-BOLD-D1,0,268703,0.0
113,All wcg departments,MAY NO.2 COVID FOOD&FRSH-BOLD-D2,0,198887,0.0
114,All wcg departments,MAY NO.2 COVID FOOD&FRSH-BOLD-D3,0,253222,0.0
115,All wcg departments,MAY NO.2 COVID FOOD&FRSH-BOLD-D5,0,264281,0.0
116,All wcg departments,MAY NO.2 COVID FOOD&FRSH-PSFA-C1,0,42224,0.0
117,All wcg departments,MAY NO.2 COVID FOOD&FRSH-PSFA-E1,0,71630,0.0
118,All wcg departments,MAY NO.2 COVID FOOD&FRSH-PSFA-N2,0,160053,0.0
119,All wcg departments,MAY NO.2 COVID FOOD&FRSH-PSFA-S1,0,90654,0.0
120,All wcg departments,MAY NO.2 COVID FRESH-PSFA-N1,0,8837,0.0
121,All wcg departments,MAY NO.3 COVID FOOD&FRSH-PSFA-C2,0,66950,0.0
122,All wcg departments,MAY NO.3 COVID FOOD&FRSH-PSFA-N1,0,103037,0.0
123,All wcg departments,MAY NO.3 COVID FRESH-PSFA-E1,0,7457,0.0
124,All wcg departments,MAY NO.3 COVID FRESH-PSFA-E2,0,8607,0.0
125,All wcg departments,MAY NO.4 COVID OPERA.-PSFA-C1,0,5918,0.0
126,All wcg departments,MAY NO.4 COVID OPERA.-PSFA-E1,0,10573,0.0
127,All wcg departments,MAY NO.4 COVID OPERA.-PSFA-E2,0,14487,0.0
128,All wcg departments,MAY NO.4 COVID OPERA.-PSFA-N1,0,18234,0.0
129,All wcg departments,MAY NO.6 COVID MILK-MOKGATSH-CW2,0,4190,0.0
130,All wcg departments,MEDICAL  APPLIANCES,0,610,0.0
131,All wcg departments,Other,0,1099336,1104717.66
132,All wcg departments,Other,3 Tier trolley,0,78680.0
133,All wcg departments,Other,ACCOMMODATION,494760,421260.0
134,All wcg departments,Other,ADVERTISMENTS,183761,183760.90000000002
135,All wcg departments,Other,Accommodation & Meals,60315091,60315091.449999996
136,All wcg departments,Other,Accommodation and Meals,3195132,0.0
137,All wcg departments,Other,Accommodation and Meals (Swartberg Hotel),140100,0.0
138,All wcg departments,Other,Advertising,7954113,9275989.85
139,All wcg departments,Other,"Advertising, Promotional Itesm",10144,10144.38
140,All wcg departments,Other,Ambubag Adult,295000,295000.0
141,All wcg departments,Other,Anatomical Markers,0,689.12
142,All wcg departments,Other,Application and Configuration of Client Relationship Management domain,0,4560800.0
143,All wcg departments,Other,Ashtray outdoor,0,31760.0
144,All wcg departments,Other,BATTERIES,49680,49680.0
145,All wcg departments,Other,BEDSIDE LOCKER,668158,10334563.25
146,All wcg departments,Other,BOLDEN TRADING APR .NO.3'20 -COVID OPERA,555862,555862.45
147,All wcg departments,Other,"Bag, soiled, liner",0,19068.35
148,All wcg departments,Other,Batteries for thermometers,1969,1968.62
149,All wcg departments,Other,"Bed, ICU, Mattress",6186076,5042660.0
150,All wcg departments,Other,"Bed, ward",19936889,61073420.83
151,All wcg departments,Other,Bedpan Reusable,0,22462.0
152,All wcg departments,Other,"Bedpan, Support pulp",0,5863.0
153,All wcg departments,Other,Bedscreen Curtains,0,342478.0
154,All wcg departments,Other,Bedscreen mobile,0,464700.48
155,All wcg departments,Other,Bedstep double,0,56909.26
156,All wcg departments,Other,Bench table,0,165330.0
157,All wcg departments,Other,Bench w/o arms,0,98140.0
158,All wcg departments,Other,Bench with arms,0,178660.0
159,All wcg departments,Other,Bin outdoor,0,51480.0
160,All wcg departments,Other,Bin storage brushed s/s,0,525.0
161,All wcg departments,Other,"Bin, Large",0,62580.0
162,All wcg departments,Other,"Bin, Office",0,19375.0
163,All wcg departments,Other,"Bin, sluice",0,45000.0
164,All wcg departments,Other,"Bin, square",0,67550.0
165,All wcg departments,Other,Bins Perforated funnel top,0,1300.0
166,All wcg departments,Other,Bloodgas Analyzer,0,172097.5
167,All wcg departments,Other,Bookcase,0,1080375.0
168,All wcg departments,Other,Bookcase / cabinet 1600mm,300000,300000.0
169,All wcg departments,Other,Bookcase 1130,0,6665.0
170,All wcg departments,Other,Bookcases,0,10750.0
171,All wcg departments,Other,"Bottle, Suction",0,12364.8
172,All wcg departments,Other,Bougies,0,12171.6
173,All wcg departments,Other,Bowl and stand,0,671658.24
174,All wcg departments,Other,"Bowl, medical pulp",0,86968.0
175,All wcg departments,Other,Boxes (For Packages of Handsanitizer),5561,5561.4
176,All wcg departments,Other,Broom,0,118.0
177,All wcg departments,Other,Buddi,0,133925.68
178,All wcg departments,Other,CABINET,100000,123200.0
179,All wcg departments,Other,CLEANING AT KARL BREMER,0,51600.0
180,All wcg departments,Other,CLEANING SERVICE 4 DORP STREET/NORTON ROSE,0,88536.0
181,All wcg departments,Other,CONS HOUS SUP:DIS PAPER/PLAST(Disposable Breathalyser),129000,129000.0
182,All wcg departments,Other,CONS HOUS SUP:PACKING MATER,474,474.56000000000006
183,All wcg departments,Other,CONS:BAGS AND ACCESSORIES,18880,18880.0
184,All wcg departments,Other,CONSULT:BUSINESS&ADVISORY SERV,3406386,6812772.5
185,All wcg departments,Other,COVID 19 Screens,54869,54868.62
186,All wcg departments,Other,COVID-19 LABORATORY ASSESSMENT,0,918.12
187,All wcg departments,Other,COVID-19 related relief funding for ECD and Partial Care Centres,3097155,3097155.0
188,All wcg departments,Other,COVID-19 related relief funding for Inpatient Disability facilities,540000,540000.0
189,All wcg departments,Other,COVID-19 related relief funding for Treatment Centres,220432,220432.0
190,All wcg departments,Other,COVID19 TESTING,63655,63654.8
191,All wcg departments,Other,CTICC Installation costs & Equipment Hire,11405657,11405656.9
192,All wcg departments,Other,CTICC Installation costs and equipment hire,502143,0.0
193,All wcg departments,Other,CVP MULTILEVEL (20 X 2.5ML) 4 LEVELS (FR),11352,637400.0
194,All wcg departments,Other,"Cabinet, TD, 1200",0,72562.5
195,All wcg departments,Other,Cabling,0,1030951.3300000001
196,All wcg departments,Other,Call Centre Services,3891313,3891312.5
197,All wcg departments,Other,Canteen Table,0,28519.75
198,All wcg departments,Other,"Canteen Table, 800mm",0,8148.5
199,All wcg departments,Other,"Cart,  Medicine",85511,759295.9
200,All wcg departments,Other,"Cart, Doctor",0,861420.8
201,All wcg departments,Other,"Cart, Emergency red",398742,705210.3
202,All wcg departments,Other,Catering,2866860,2317486.86
203,All wcg departments,Other,Catering (Provincial JOCS),136747,166970.5
204,All wcg departments,Other,Catering Services,34244,34244.0
205,All wcg departments,Other,Catheter stand,0,17779.0
206,All wcg departments,Other,Chair draughtsman/ midback,134800,134800.0
207,All wcg departments,Other,Chair step,1874200,2968200.0
208,All wcg departments,Other,"Chair, Modular",0,15668.15
209,All wcg departments,Other,Cleaning materials,15494,15493.91
210,All wcg departments,Other,Cleaning trolley,299633,299632.5
211,All wcg departments,Other,"Clock, wall",0,36795.0
212,All wcg departments,Other,"Cloth, micro fibre",926,655.5
213,All wcg departments,Other,Coffee Table,0,12351.75
214,All wcg departments,Other,Coffee table - 600,0,17286.0
215,All wcg departments,Other,Combi Steamer,0,77165.0
216,All wcg departments,Other,Commode,0,104126.57999999999
217,All wcg departments,Other,Communication,3335672,4769672.69
218,All wcg departments,Other,Computer,0,1177952.0
219,All wcg departments,Other,Computer Monitor,0,6933.35
220,All wcg departments,Other,"Computer, AIO",0,2600577.1
221,All wcg departments,Other,Connectors & Tubing,0,3312.0
222,All wcg departments,Other,"Connectors, Suctionm Unit",0,1380.0
223,All wcg departments,Other,Contractors,1973036,1973036.24
224,All wcg departments,Other,Courier service,7455,7454.93
225,All wcg departments,Other,"Cover, Bedpan pulp",0,49352.0
226,All wcg departments,Other,"Cover, Bowl pulp",0,85602.0
227,All wcg departments,Other,"Cover, slipperpan pulp",0,87608.0
228,All wcg departments,Other,Coveralls S,235716,21280.0
229,All wcg departments,Other,Credenza 1200x900h,0,17060.25
230,All wcg departments,Other,Credenza FS 800,0,7525.0
231,All wcg departments,Other,Credenza wooden,0,393880.0
232,All wcg departments,Other,"Credenza, 1200",0,20468.0
233,All wcg departments,Other,"Credenza, 900",0,45149.92
234,All wcg departments,Other,"Credenza, 900 x7320",0,26050.0
235,All wcg departments,Other,"Credenza, TD 1200",0,24187.5
236,All wcg departments,Other,Cuvette,0,17020.0
237,All wcg departments,Other,Cylinder trolley,0,40499.44
238,All wcg departments,Other,DEEP CLEANING SERVICES COVID 19 SITES,0,839900.0
239,All wcg departments,Other,"DISPENSER , FOOT PUMP FOR HAND SANITIZER",0,15000.0
240,All wcg departments,Other,Defibrillator,0,3102528.5
241,All wcg departments,Other,Delivery Charges,2933,2932.5
242,All wcg departments,Other,Desk / workstation 1200mm,103200,103200.0
243,All wcg departments,Other,"Desk Screen, Large",0,23650.0
244,All wcg departments,Other,Desk screens,0,11825.0
245,All wcg departments,Other,Desk wooden 1300mm x 600mm x 730mm and modesty panel,0,221880.0
246,All wcg departments,Other,Diagnostic set mobile,294326,773858.12
247,All wcg departments,Other,"Discs, EXT set, for Alaris syringe",0,32273.7
248,All wcg departments,Other,"Dispenser, paper towel",0,97785.0
249,All wcg departments,Other,Doctor's chair,0,44100.0
250,All wcg departments,Other,Drainage system,0,4287.0
251,All wcg departments,Other,Draughtsman Chair,0,20616.5
252,All wcg departments,Other,"Draughtsman, Chair",0,5891.0
253,All wcg departments,Other,Dripstand,540270,1078754.76
254,All wcg departments,Other,Drug Cabinet Large,0,176887.90000000002
255,All wcg departments,Other,Drug Cabinet small,0,17940.0
256,All wcg departments,Other,Duck Tape,990,990.0
257,All wcg departments,Other,Dustpan and broom set,0,3880.0
258,All wcg departments,Other,ECG Machine,0,956873.14
259,All wcg departments,Other,Emergency Trolley,0,210156.09000000003
260,All wcg departments,Other,Examination Couch,0,4695.9
261,All wcg departments,Other,Finger Probe,0,31625.0
262,All wcg departments,Other,Flowmeter double,454998,1949997.5
263,All wcg departments,Other,Flowmeter single,272226,272225.7
264,All wcg departments,Other,Folding nose trolley,0,16387.5
265,All wcg departments,Other,"Frames, picture, A1",0,17380.0
266,All wcg departments,Other,"Frames, picture, A2",0,24985.0
267,All wcg departments,Other,"Frames, picture, A3",0,40700.0
268,All wcg departments,Other,"Frames, picture, A4",0,64500.0
269,All wcg departments,Other,Fridge,0,204000.0
270,All wcg departments,Other,Fridge domestic single door,391000,463549.7
271,All wcg departments,Other,Fumigation of premises,622207,351803.92
272,All wcg departments,Other,GEM 3500/4000 PRINTER PAPER (1 x 5 PACK ),1701,341720.0
273,All wcg departments,Other,Gowns Disposable,98530936,68006045.74
274,All wcg departments,Other,HB Meter,0,190709.98
275,All wcg departments,Other,"Hammer, Reflex",0,6154.8
276,All wcg departments,Other,Hand sanitiser sensor type,83093,310986.55
277,All wcg departments,Other,Hand sanitiser sensor type refill,510600,1514780.0
278,All wcg departments,Other,Hard Drive,0,3922.0
279,All wcg departments,Other,High pressure cleaner / Disinfector ???,0,45954.0
280,All wcg departments,Other,Hire and operating costs of Brackengate,402521,0.0
281,All wcg departments,Other,Hire of Brackengate & operating Costs,2487604,2487604.49
282,All wcg departments,Other,Hire of CTICC Hospital & Storage,44641929,44641928.56
283,All wcg departments,Other,Hire of CTICC Hospital and storage,129976,0.0
284,All wcg departments,Other,"Holder, cap",0,3365.42
285,All wcg departments,Other,"Holder, glove",0,6090.09
286,All wcg departments,Other,"Holder, mask",0,2177.79
287,All wcg departments,Other,IQM GEM 3500 CARTRIDGE BGE/HCT/GLU/LAC (75 SAMPLES),45403,117340.0
288,All wcg departments,Other,IV Pole,41400,41400.0
289,All wcg departments,Other,Infusion Pump,799253,2345089.2600000002
290,All wcg departments,Other,"Installation, Network",0,49508.6
291,All wcg departments,Other,"Instruments, Emergency",0,64020.5
292,All wcg departments,Other,Interpreting Services: Sign language interpreting services for Premier's media briefing on Covid-19,12750,50500.0
293,All wcg departments,Other,Kettle,19943,47240.0
294,All wcg departments,Other,Key Cabinet,0,32583.8
295,All wcg departments,Other,Kick about and bucket,0,9211.8
296,All wcg departments,Other,Kidney Bowl pulp,0,55006.0
297,All wcg departments,Other,L-shape desk 1800,0,4512.85
298,All wcg departments,Other,Label Printer,0,44991.0
299,All wcg departments,Other,Ladder,0,4400.0
300,All wcg departments,Other,Laptop,0,560701.6
301,All wcg departments,Other,Laryngoscope,0,239628.0
302,All wcg departments,Other,Letter tray,0,118175.0
303,All wcg departments,Other,"Light, examination",0,542040.0
304,All wcg departments,Other,Linbin Size3,0,5724.0
305,All wcg departments,Other,Linbin Size4,0,4862.0
306,All wcg departments,Other,Linbin Size8,0,8794.8
307,All wcg departments,Other,"Liner, bedpan pulp",0,147236.0
308,All wcg departments,Other,"Liners, Suction",0,117151.65
309,All wcg departments,Other,Locker Units,0,7073.5
310,All wcg departments,Other,Locker Units -1800H,0,274006.75
311,All wcg departments,Other,"Locker Units, 1800H",0,154370.0
312,All wcg departments,Other,Lockers 4H,0,35367.5
313,All wcg departments,Other,Lockers 5H,0,30874.0
314,All wcg departments,Other,"Lockers, 1800",0,735925.0
315,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS APR NO.2 '20 -COVID FOOD FRESH AND MILK CLAIM,622386,622385.54
316,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS APR NO.3'20-COVID OPERA.CLAIM,145651,145651.43
317,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS APR NO.4'20-COVID OPERA.CLAIM,107332,107332.25
318,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS APR'20-COVID FOOD CLAIM,791089,791089.42
319,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS MAY NO.3'20-COVID OPERA.CLAIM,75856,75855.71
320,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS MAY NO.4 -COVID FOOD FRESH AND MILK CLAIM,631314,631313.63
321,All wcg departments,Other,MOKGATSHELWA TRADING & PROJECTS MAY'20-COVID FOOD CLAIM,399468,399468.0
322,All wcg departments,Other,Macerator / Waste Disposal Machine,0,737872.0
323,All wcg departments,Other,Maintenance,242236,242236.0
324,All wcg departments,Other,Maintenance of the automatic hand sanitizer dispensers,4370,52440.0
325,All wcg departments,Other,"Management Fee, Medical Waste, Security, Laundry services, Maintenance, Catering",9984612,6874091.19
326,All wcg departments,Other,Marketing,0,9108.0
327,All wcg departments,Other,Marketing and Communication,1063275,4892477.340000001
328,All wcg departments,Other,Matressess,0,106530.0
329,All wcg departments,Other,Mattresses,266325,905505.0
330,All wcg departments,Other,Meeting Table - 1400x700,0,9610.5
331,All wcg departments,Other,Microwave,93800,238800.0
332,All wcg departments,Other,Midback,0,40205.0
333,All wcg departments,Other,Midbacks,0,993675.0
334,All wcg departments,Other,Mobile Aneroid,0,948.75
335,All wcg departments,Other,Mobile Credenza -900m,0,14770.5
336,All wcg departments,Other,Mobile Pedestal,0,294679.0
337,All wcg departments,Other,Mobile Pedestals,0,209363.0
338,All wcg departments,Other,Mobile X-ray unit,0,4287140.51
339,All wcg departments,Other,"Mobile, whiteboard",0,10399.2
340,All wcg departments,Other,Module 1200,0,48375.0
341,All wcg departments,Other,Modules TD 900,0,86645.0
342,All wcg departments,Other,"Modules, TD, 1200",0,224537.5
343,All wcg departments,Other,"Modules, TD, 1500",0,13330.0
344,All wcg departments,Other,"Modules, TD, 900",0,61100.0
345,All wcg departments,Other,Monitor ICU,19177345,19177345.2
346,All wcg departments,Other,Monitor Medical,0,342480.08
347,All wcg departments,Other,Monitor Vital Signs,3812791,16803424.55
348,All wcg departments,Other,Monitor vital signs with ECG,0,1448437.0
349,All wcg departments,Other,Mops colour coded,0,35374.0
350,All wcg departments,Other,Mortuary Brackengate,0,0.0
351,All wcg departments,Other,Mortuary Equipment,0,483052.9
352,All wcg departments,Other,Mortuary Trolley,0,153966.6
353,All wcg departments,Other,"Mortuary, Body Tray",0,283350.0
354,All wcg departments,Other,"Mortuary, Brackets, Installation",0,15151.25
355,All wcg departments,Other,"Mortuary, Installation",0,82966.75
356,All wcg departments,Other,"Mortuary,Rack",0,191187.5
357,All wcg departments,Other,Nebulizer,0,28148.050000000003
358,All wcg departments,Other,Notebook,0,268532.0
359,All wcg departments,Other,Nurse's Call System,0,867553.1
360,All wcg departments,Other,Other - Oxgen Mask,193903,15224413.5
361,All wcg departments,Other,Other - Ppe,4702151,34009670.0
362,All wcg departments,Other,Other - Protective Clothing,17600,1615804.5
363,All wcg departments,Other,Other - Rescue Blankets,74000,4600000.0
364,All wcg departments,Other,Other Bracelet,0,507866.0
365,All wcg departments,Other,Other Cooler box,1130714,829109.6
366,All wcg departments,Other,Other Dispencer soap,83093,344500.0
367,All wcg departments,Other,Other Ice pack,640770,1016109.6
368,All wcg departments,Other,Other Mask Filter,3843300,570041.9
369,All wcg departments,Other,Other Mask Nebuliser,0,16370.75
370,All wcg departments,Other,Other Soap,300840,860457.3
371,All wcg departments,Other,Other medical Waste boxes,0,4010694.82
372,All wcg departments,Other,Overbed Table,2484000,5626375.0
373,All wcg departments,Other,Oxymeter,0,63250.0
374,All wcg departments,Other,PALLETS,119422,158100.0
375,All wcg departments,Other,PALLETS NEW KILN DRIED,47769,489900.0
376,All wcg departments,Other,Partitioning Screen,0,1013763.05
377,All wcg departments,Other,Partitions - 1800,0,56760.0
378,All wcg departments,Other,Partitions - short,0,3827.0
379,All wcg departments,Other,Patient Slide,0,355017.0
380,All wcg departments,Other,Peak Flowmeter,0,12536.98
381,All wcg departments,Other,Pedestal mobile,0,264880.0
382,All wcg departments,Other,Platform Scale,0,7015.0
383,All wcg departments,Other,Platform Trolley,0,33810.0
384,All wcg departments,Other,Plinth,0,169094.4
385,All wcg departments,Other,Printer,0,217814.76
386,All wcg departments,Other,Printers,0,743277.22
387,All wcg departments,Other,Printing,111793,111793.4
388,All wcg departments,Other,Project Management services,485760,0.0
389,All wcg departments,Other,Projector,0,41346.46
390,All wcg departments,Other,"Q Cart, Sterile",0,584345.76
391,All wcg departments,Other,Q-cart Large,120210,3845414.2199999997
392,All wcg departments,Other,Q-cart Linen,0,742891.24
393,All wcg departments,Other,Q-cart small,2028371,6405956.75
394,All wcg departments,Other,"REGULATOR, MEDICAL TEMPERATURE",8384449,8384448.75
395,All wcg departments,Other,"REPAIR BUILDING , MAINTENANCE",6880,6880.0
396,All wcg departments,Other,"Radiation, Apron, Large",0,14069.92
397,All wcg departments,Other,"Radiation, Apron, X-Large",0,14069.92
398,All wcg departments,Other,"Radiation, Coat Rack",0,6920.08
399,All wcg departments,Other,"Radiation, Gloves",0,26790.28
400,All wcg departments,Other,Radio,0,59541.25
401,All wcg departments,Other,Radiographic grid,0,56580.0
402,All wcg departments,Other,Radiographic workstation,0,851733.08
403,All wcg departments,Other,Recliner,0,317988.0
